[1.452s] Invoking command in '/home/mariobo/ernest_ws/src/ernest_simulations/build/description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/mariobo/ernest_ws/src/ernest_simulations/install/mpc_controller:/home/mariobo/ernest_ws/install/mpc_controller:/opt/ros/foxy /usr/local/bin/cmake --build /home/mariobo/ernest_ws/src/ernest_simulations/build/description -- -j8 -l8
[2.441s] Invoked command in '/home/mariobo/ernest_ws/src/ernest_simulations/build/description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/mariobo/ernest_ws/src/ernest_simulations/install/mpc_controller:/home/mariobo/ernest_ws/install/mpc_controller:/opt/ros/foxy /usr/local/bin/cmake --build /home/mariobo/ernest_ws/src/ernest_simulations/build/description -- -j8 -l8
[2.508s] Invoking command in '/home/mariobo/ernest_ws/src/ernest_simulations/build/description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/mariobo/ernest_ws/src/ernest_simulations/install/mpc_controller:/home/mariobo/ernest_ws/install/mpc_controller:/opt/ros/foxy /usr/local/bin/cmake --install /home/mariobo/ernest_ws/src/ernest_simulations/build/description
[2.536s] -- Install configuration: ""
[2.537s] -- Execute custom install script
[2.539s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/urdf/ernest.urdf.xacro
[2.539s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/urdf/ernest_control.xacro
[2.539s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/urdf/ernest_gazebo.xacro
[2.539s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/urdf/ernest_system.urdf.xacro
[2.539s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/urdf/inertial_macros.xacro
[2.540s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/urdf/joint_traj_controller.xacro
[2.540s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/urdf/robot_core.urdf.xacro
[2.540s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/launch/view_ernest.launch.py
[2.548s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/rviz/view_ernest.rviz
[2.549s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/bogie.STL
[2.550s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/bogie.dae
[2.550s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/bogie_link.STL
[2.550s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/chassis.STL
[2.551s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/chassis.dae
[2.551s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/front_left_steer.STL
[2.559s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/front_left_steer.dae
[2.559s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/front_left_wheel.STL
[2.560s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/front_left_wheel.dae
[2.560s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/front_right_steer.STL
[2.560s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/front_right_steer.dae
[2.561s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/front_right_wheel.STL
[2.561s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/front_right_wheel.dae
[2.561s] -- Up-to-date symlink: /home/mariobo/ernest_ws/src/ernest_simulations/install/description/share/description/meshes/pivot.STL
